fase;horario_sinal;horario_expiracao;ativo;estrategia;lado;entrada;saida;resultado;odd;stake_virtual;pnl_virtual
FORWARD_POS100;20/08/2026 14:25:00;20/08/2026 14:30:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72724.0;72810.0;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 14:30:00;20/08/2026 14:35:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72810.0;72805.99;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 14:35:00;20/08/2026 14:40:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72805.99;72816.0;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 14:40:00;20/08/2026 14:45:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72816.0;72762.0;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 14:45:00;20/08/2026 14:50:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72762.0;72804.74;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 14:50:00;20/08/2026 14:55:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72804.74;72890.48;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 14:55:00;20/08/2026 15:00:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72890.48;72737.51;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 15:00:00;20/08/2026 15:05:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72737.51;72615.94;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 15:05:00;20/08/2026 15:10:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72615.94;72557.66;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 15:10:00;20/08/2026 15:15:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72557.66;72617.79;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 15:15:00;20/08/2026 15:20:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72617.79;72632.39;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 15:20:00;20/08/2026 15:25:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72632.39;72735.39;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 15:25:00;20/08/2026 15:30:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72735.39;72688.0;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 15:30:00;20/08/2026 15:35:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72688.0;72433.1;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 15:35:00;20/08/2026 15:40:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72433.1;72460.0;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 15:40:00;20/08/2026 15:45:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72460.0;72498.5;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 15:45:00;20/08/2026 15:50:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72498.5;72534.0;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 15:50:00;20/08/2026 15:55:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72534.0;72491.99;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 15:55:00;20/08/2026 16:00:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72491.99;72431.36;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 16:00:00;20/08/2026 16:05:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72431.36;72406.0;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 16:05:00;20/08/2026 16:10:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72406.0;72470.09;LOSS;1.82;5.0;-5.0
