fase;horario_sinal;horario_expiracao;ativo;estrategia;lado;entrada;saida;resultado;odd;stake_virtual;pnl_virtual
TREINO_REPLAY;15/08/2026 12:20:00;15/08/2026 12:25:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1587;0.1583;WIN;1.8;5.0;4.0
TREINO_REPLAY;16/08/2026 13:20:00;16/08/2026 13:25:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1588;0.1591;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;16/08/2026 13:20:00;16/08/2026 13:25:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1588;0.1591;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;16/08/2026 13:25:00;16/08/2026 13:30:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1591;0.1594;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;16/08/2026 13:25:00;16/08/2026 13:30:00;XLMUSDT;XLM_CHAL_RSI14_22_78;PUT;0.1591;0.1594;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;16/08/2026 13:25:00;16/08/2026 13:30:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1591;0.1594;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;16/08/2026 13:30:00;16/08/2026 13:35:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1594;0.1594;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;16/08/2026 13:30:00;16/08/2026 13:35:00;XLMUSDT;XLM_CHAL_RSI14_22_78;PUT;0.1594;0.1594;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;16/08/2026 13:30:00;16/08/2026 13:35:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1594;0.1594;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;16/08/2026 13:35:00;16/08/2026 13:40:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1594;0.1592;WIN;1.8;5.0;4.0
TREINO_REPLAY;16/08/2026 13:35:00;16/08/2026 13:40:00;XLMUSDT;XLM_CHAL_RSI14_22_78;PUT;0.1594;0.1592;WIN;1.8;5.0;4.0
TREINO_REPLAY;16/08/2026 13:35:00;16/08/2026 13:40:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1594;0.1592;WIN;1.8;5.0;4.0
TREINO_REPLAY;16/08/2026 23:35:00;16/08/2026 23:40:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1581;0.1578;WIN;1.8;5.0;4.0
TREINO_REPLAY;16/08/2026 23:35:00;16/08/2026 23:40:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1581;0.1578;WIN;1.8;5.0;4.0
TREINO_REPLAY;16/08/2026 23:55:00;17/08/2026 00:00:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1584;0.1586;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;16/08/2026 23:55:00;17/08/2026 00:00:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1584;0.1586;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;17/08/2026 00:00:00;17/08/2026 00:05:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1586;0.1584;WIN;1.8;5.0;4.0
TREINO_REPLAY;17/08/2026 00:00:00;17/08/2026 00:05:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1586;0.1584;WIN;1.8;5.0;4.0
TREINO_REPLAY;17/08/2026 22:50:00;17/08/2026 22:55:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1565;0.15644;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;17/08/2026 22:50:00;17/08/2026 22:55:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.1565;0.15644;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;17/08/2026 22:50:00;17/08/2026 22:55:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.1565;0.15644;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;17/08/2026 22:55:00;17/08/2026 23:00:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.15644;0.1565;WIN;1.8;5.0;4.0
TREINO_REPLAY;17/08/2026 22:55:00;17/08/2026 23:00:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.15644;0.1565;WIN;1.8;5.0;4.0
TREINO_REPLAY;17/08/2026 22:55:00;17/08/2026 23:00:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.15644;0.1565;WIN;1.8;5.0;4.0
