Horario;Ativo;TF;Estrategia;Operacao;Status;Preco Entrada;Preco Saida;Resultado;Odd;Estrategias;RSI;MACD_Hist;Tendencia
07/08 12:15:10;AUDCHF;M5;F_PATAMAR12;COMPRAR;REAL;0,57023;0,57032;WIN;1,9;varreu fundo 12v (0.57031) com EMA20>EMA50 → fade da fábrica (CALL);;;
07/08 17:50:21;EURCAD;M5;V2;VENDER;REAL;1,61185;1,61145;WIN;1,9;Cruzamento-MACD-Baixa, PriceAction(ENGOLFO_BAIXA_RESISTENCIA);49.88;-1e-05;LATERAL
07/08 22:45:10;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1625;0,1622;WIN;1,8;RSI14 78.0 > 75 → espelho da fábrica (PUT);;;
08/08 09:55:23;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1648;0,1646;WIN;1,8;RSI14 75.8 > 75 → espelho da fábrica (PUT);;;
08/08 11:30:09;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1662;0,166;WIN;1,8;RSI14 75.8 > 75 → espelho da fábrica (PUT);;;
08/08 11:50:14;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1663;0,1664;LOSS;1,8;RSI14 75.2 > 75 → espelho da fábrica (PUT);;;
08/08 11:55:21;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1664;0,1662;WIN;1,8;RSI14 76.3 > 75 → espelho da fábrica (PUT);;;
09/08 20:25:11;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1614;0,1612;LOSS;1,8;RSI14 24.1 < 25 → espelho da fábrica (CALL);;;
09/08 20:30:15;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1612;0,161;LOSS;1,8;RSI14 22.4 < 25 → espelho da fábrica (CALL);;;
09/08 20:35:24;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,161;0,16303;WIN;1,8;RSI14 20.7 < 25 → espelho da fábrica (CALL);;;
10/08 09:00:12;EURCAD;M5;V2;COMPRAR;REAL;1,61029;1,61037;WIN;1,9;Cruzamento-MACD-Alta, PriceAction(ENGOLFO_ALTA_SUPORTE);37.83;1e-05;BAIXA
10/08 09:05:09;AUDCHF;M5;F_PATAMAR12;COMPRAR;REAL;0,57101;0,5709;LOSS;1,9;varreu fundo 12v (0.57102) com EMA20>EMA50 → fade da fábrica (CALL);;;
10/08 10:05:20;AUDCHF;M5;F_PATAMAR12;VENDER;REAL;0,57123;0,57129;LOSS;1,9;varreu topo 12v (0.57117) com EMA20<EMA50 → fade da fábrica (PUT);;;
10/08 10:10:14;AUDCHF;M5;F_PATAMAR12;VENDER;REAL;0,57129;0,57105;WIN;1,9;varreu topo 12v (0.57125) com EMA20<EMA50 → fade da fábrica (PUT);;;
10/08 13:35:22;AUDCHF;M5;F_PATAMAR12;COMPRAR;REAL;0,57138;0,57147;WIN;1,9;varreu fundo 12v (0.57141) com EMA20>EMA50 → fade da fábrica (CALL);;;
10/08 13:55:08;EURCAD;M5;V2;COMPRAR;REAL;1,60866;1,60878;WIN;1,9;Cruzamento-MACD-Alta, PriceAction(ENGOLFO_ALTA_SUPORTE);39.49;1e-05;BAIXA
